stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
2356,,CRISTOVAO COLOMBO 3084,,-30.017529,-51.18939
6237,,ENG ALEXANDRE MARTINS DA ROSA 200,,-29.979049,-51.184519
4315,,OTAVIANO JOSE PINTO DF 3001,,-30.222608,-51.099045
4314,,OTAVIANO JOSE PINTO 3001,,-30.2225,-51.098965
62,,SERRARIA 761,,-30.150301,-51.21775
3962,,SERTORIO 5200,,-29.997929,-51.152781
49,,SERRARIA AL 1707,,-30.158067,-51.219504
48,,SERRARIA DF 1844,,-30.159406,-51.22013
5689,,INTENDENTE ALFREDO AZEVEDO 1077,,-30.073999,-51.190138
4616,,ANTONIO JOSE DE SANTANA DF 989,,-30.084535,-51.11598
4615,,ANTONIO JOSE DE SANTANA 954,,-30.085604,-51.115262
40,,SERRARIA 2087,,-30.161636,-51.220322
4611,,BORBA GATO-LOMBA DO PINHEIRO 465,,-30.105603,-51.109733
3649,,SERTORIO 2131,,-30.003177,-51.184028
3860,,FRANCISCO TREIN DF 98,,-30.011536,-51.159836
5675,,RIO GRANDE 125,,-30.128873,-51.202694
6124,,CARLOS SILVEIRA MARTINS PACHECO DF 36,,-30.010837,-51.159278
434,,ECON NILO WULFF DF 939,,-30.150415,-51.145546
2037,,GUILHERME ALVES AL1010,,-30.056772,-51.189097
2059,,GUILHERME ALVES DF 595,,-30.052279,-51.186596
2271,,GUILHERME ALVES DF 39,,-30.047441,-51.184676
2062,,GUILHERME ALVES 300,,-30.049712,-51.185316
2060,,GUILHERME ALVES DF 469,,-30.051415,-51.186098
390,,EDGAR PIRES DE CASTRO 5160,,-30.17195,-51.149092
326,,EDGAR PIRES DE CASTRO DF 3130,,-30.158401,-51.161251
307,,EDGAR PIRES DE CASTRO 2264,,-30.156276,-51.16745
6248,,EDGAR PIRES DE CASTRO DF 11405,,-30.207184,-51.113225
299,,EDGAR PIRES DE CASTRO 1827,,-30.155921,-51.172286
153,,EDGAR PIRES DE CASTRO DF 370,,-30.156983,-51.187409
675,,JUCA BATISTA DF 954,,-30.141661,-51.218961
73,,SERRARIA 3100,,-30.182214,-51.209165
380,,EDGAR PIRES DE CASTRO 9316,,-30.196654,-51.12799
2042,,GUILHERME ALVES DF 901,,-30.055007,-51.188164
2983,,SAO BENEDITO DF 674,,-30.046241,-51.165984
2992,,SAO BENEDITO 461,,-30.044583,-51.165631
2982,,PROF ABILIO AZAMBUJA 655,,-30.047842,-51.16617
6125,,PROF PEDRO SANTA HELENA DF 680,,-30.048942,-51.164967
1056,,CAMPO NOVO 246,,-30.14124,-51.214967
4598,,BORBA GATO-LOMBA DO PINHEIRO 147,,-30.107087,-51.106848
626,,CEL MARCOS 851,,-30.123378,-51.24785
625,,CEL MARCOS 880,,-30.123287,-51.247879
5013,,PAULINO 450,,-29.990251,-51.091007
3588,,FREDERICO MENTZ DF 1050,,-29.991243,-51.200571
3587,,FREDERICO MENTZ 1050,,-29.990965,-51.200385
2730,,PROF PEDRO SANTA HELENA 80,,-30.050729,-51.170844
2290,,CARLOS TREIN FILHO 1287,,-30.034204,-51.186104
3594,,BENJAMIN CONSTANT 1552,,-30.014855,-51.195831
3648,,SERTORIO 1988,,-30.003035,-51.185463
3565,,PRESIDENTE FRANKLIN ROOSEVELT 641,,-30.005243,-51.201939
4628,,JOAO ANTONIO LOPES DF 322,,-30.081316,-51.11572
898,,PRUDENCIA DF 334,,-30.1131,-51.229861
2485,,AFONSO LOURENCO MARIANTE 2254,,-30.111344,-51.156346
241,,RETIRO DA PONTA GROSSA 427,,-30.179301,-51.180421
4953,,FRANCISCO TALAIA DE MOURA DF 345,,-30.00291,-51.090739
2861,,MONTENEGRO 235,,-30.040881,-51.181563
3857,,FRANCISCO TREIN DF 326,,-30.013295,-51.159602
3856,,FRANCISCO TREIN AL 326,,-30.013102,-51.159545
3123,,FRANCISCO TREIN DF 707,,-30.017333,-51.158982
3851,,UMBU 701,,-30.015224,-51.162233
5031,,LUIZA ROCCO DF 200,,-30.073109,-51.203312
2471,,BARCELLOS 1706,,-30.088822,-51.180341
2470,,BARCELLOS DF 1076,,-30.088667,-51.180821
1317,,BARCELLOS 280,,-30.08639,-51.183627
1316,,BARCELLOS 844,,-30.086818,-51.183342
6142,,BARCELLOS 1045,,-30.087924,-51.1822
2662,,BORBOREMA DF 781,,-30.073895,-51.169896
2663,,BORBOREMA DF 777,,-30.073781,-51.169901
3005,,SAO BENEDITO DF 50,,-30.040647,-51.165667
2472,,BARCELLOS 2258,,-30.089668,-51.179476
1319,,BARCELLOS DF 104,,-30.085585,-51.185015
2933,,PLINIO BRASIL MILANO 1023,,-30.020739,-51.180963
2395,,DR VERGARA 5352,,-30.11549,-51.180485
4470,,JOAO ANTONIO SILVEIRA DF 5070,,-30.145047,-51.113467
4469,,JOAO ANTONIO SILVEIRA AL 5070,,-30.145345,-51.112937
108,,RETIRO DA PONTA GROSSA DF 946,,-30.180527,-51.186178
2514,,VALTER DE AZEREDO DF 81,,-30.143368,-51.125754
4347,,VAREJAO 3198,,-30.226715,-51.070982
215,,FRANCISCA DE OLIVEIRA VIEIRA 1435,,-30.197625,-51.170562
214,,FRANCISCA DE OLIVEIRA VIEIRA DF 1435,,-30.197596,-51.17064
6246,,FRANCISCA DE OLIVEIRA VIEIRA 488,,-30.207647,-51.178511
2979,,ANGELO CRIVELLARO 525,,-30.048695,-51.166566
2991,,SAO LUCAS DF 295,,-30.043341,-51.166973
5742,,BARCELLOS AL 980,,-30.0911,-51.178355
2278,,CACAPAVA 190,,-30.042928,-51.183969
4318,,VAREJAO 193,,-30.21937,-51.099471
2511,,PADRE PEDRO LEONARDI ,,-30.144792,-51.127457
1804,,PROF OSCAR PEREIRA AL 1564,,-30.064103,-51.205985
5591,,CRISTIANO KRAEMER 1078,,-30.125407,-51.202087
1638,,JOAO AMORIM DE ALBUQUERQUE 20,,-30.031627,-51.229475
1136,,CRISTIANO KRAEMER 930,,-30.124706,-51.202171
1135,,CRISTIANO KRAEMER DF 970,,-30.125063,-51.202209
1144,,CRISTIANO KRAEMER 719,,-30.121877,-51.202573
1078,,CRISTIANO KRAEMER 5016,,-30.145442,-51.203124
1158,,CRISTIANO KRAEMER 3121,,-30.140483,-51.196551
5968,,CRISTIANO KRAEMER DF 2540,,-30.137085,-51.195235
1163,,CRISTIANO KRAEMER 2582,,-30.137158,-51.195117
1160,,CRISTIANO KRAEMER DF 2440,,-30.135051,-51.196045
1161,,CRISTIANO KRAEMER 2440,,-30.134663,-51.196112
1180,,CRISTIANO KRAEMER DF 1817,,-30.131072,-51.198035
6119,,CRISTIANO KRAEMER DF 2116,,-30.132706,-51.196989
5307,,CRISTIANO KRAEMER 1863,,-30.131163,-51.198038
6245,,EDUARDO PRADO 1663,,-30.133388,-51.218296
1146,,CRISTIANO KRAEMER 736,,-30.122083,-51.202472
499,,WENCESLAU ESCOBAR 3390,,-30.117968,-51.253159
520,,PEREIRA PASSOS AL 520,,-30.101543,-51.258995
656,,DEA COUFAL AL 467,,-30.131408,-51.231774
6063,,OCTAVIO DE SOUZA 1237,,-30.086788,-51.22395
1129,,CRISTIANO KRAEMER 1657,,-30.130193,-51.20001
1130,,CRISTIANO KRAEMER 1712,,-30.129833,-51.200691
5898,,CRISTIANO KRAEMER 755,,-30.125812,-51.202125
1132,,CRISTIANO KRAEMER 1410,,-30.127518,-51.201843
5908,,CRISTIANO KRAEMER 285,,-30.118167,-51.203376
1149,,CRISTIANO KRAEMER 230,,-30.117857,-51.203629
1541,,AURELIANO DE FIGUEIREDO PINTO 100,,-30.042855,-51.230128
1551,,AURELIANO DE FIGUEIREDO PINTO DF 455,,-30.043059,-51.227491
1559,,AURELIANO DE FIGUEIREDO PINTO DF 575,,-30.043282,-51.225172
1597,,AURELIANO DE FIGUEIREDO PINTO 862,,-30.043542,-51.222325
1596,,AURELIANO DE FIGUEIREDO PINTO DF 876,,-30.043625,-51.222223
2376,,GEDEON LEITE 2545,,-30.144229,-51.175799
2181,,CRISTOVAO COLOMBO DF 508,,-30.025677,-51.212777
1138,,RODRIGUES DA FONSECA 1883,,-30.116802,-51.208139
1122,,RODRIGUES DA FONSECA 1810,,-30.116484,-51.20853
1121,,RODRIGUES DA FONSECA AL 1647,,-30.116095,-51.209766
1117,,RODRIGUES DA FONSECA 1519,,-30.115684,-51.211531
2719,,VIDAL DE NEGREIROS AL 39,,-30.061926,-51.168712
1764,,PROF OSCAR PEREIRA 2620,,-30.073253,-51.202974
1306,,PROF OSCAR PEREIRA AL 4796,,-30.086716,-51.187844
6179,,GAMAL ABDEL NASSER 195,,-29.999546,-51.095914
4972,,GAMAL ABDEL NASSER 230,,-29.999679,-51.094771
3583,,SAO JORGE DF,,-29.994053,-51.202128
709,,CAVALHADA 5520,,-30.123847,-51.223931
5016,,ASSIS BRASIL 8085,,-29.982642,-51.116224
2337,,CARLOS TREIN FILHO 1150,,-30.031394,-51.186634
5346,,CARLOS TREIN FILHO DF 1150,,-30.031386,-51.186717
1147,,CRISTIANO KRAEMER 571,,-30.120418,-51.20272
3405,,AMADEU F DE OLIVEIRA FREITAS 180,,-30.038283,-51.126981
3406,,AMADEU F DE OLIVEIRA FREITAS 255,,-30.037412,-51.127098
6242,,AMADEU F DE OLIVEIRA FREITAS 65,,-30.0396,-51.126887
2841,,MARANGUAPE 21,,-30.042907,-51.180076
