shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010120,40.8178544571,-73.9380182563,240003
M010120,40.8184772613,-73.9375624551,240004
M010120,40.8188155498,-73.9373142938,240005
M010120,40.8188155498,-73.9373142938,250001
M010120,40.8191082938,-73.9370994117,250002
M010120,40.8197393283,-73.9366435855,250003
M010120,40.8202414135,-73.9362854242,250004
M010120,40.8203072686,-73.9362528445,250005
M010120,40.8204362581,-73.9362310431,250006
M010120,40.8207386032,-73.936010361,250007
M010120,40.8207386032,-73.936010361,260001
M010120,40.8211056969,-73.9357426453,260002
M010120,40.8216571556,-73.9353338394,260003
M010120,40.8217477311,-73.9353337514,260004
M010120,40.8219266483,-73.9357566661,260005
M010120,40.8219266483,-73.9357566661,270001
M010120,40.8228269819,-73.9378846369,270002
M010120,40.8228269819,-73.9378846369,280001
M010120,40.8228937633,-73.9380424673,280002
M010120,40.8229679655,-73.9382194406,280003
M010120,40.8223451573,-73.9386716534,280004
M010120,40.8222709577,-73.9384982943,280005
M010120,40.8211551667,-73.9358592979,280006
M010123,40.821121912,-73.9357809276,10001
M010123,40.8211056969,-73.9357426453,10002
M010123,40.8204362581,-73.9362310431,10003
M010123,40.8203457764,-73.9364009393,10004
M010123,40.8201298529,-73.9365561414,10005
M010123,40.8201298529,-73.9365561414,20001
M010123,40.819802538,-73.9367916558,20002
M010123,40.8191715048,-73.937251094,20003
M010123,40.8185487,-73.93770329,20004
M010123,40.8182224826,-73.9379427662,20005
M010123,40.8182224826,-73.9379427662,30001
M010123,40.817917665,-73.9381663237,30002
M010123,40.8173003439,-73.9386148848,30003
M010123,40.8166775355,-73.9390706681,30004
M010123,40.8166170696,-73.9389153745,30005
M010123,40.8165194947,-73.9386564292,30006
M010123,40.8165194947,-73.9386564292,40001
M010123,40.8164549029,-73.9384856054,40002
M010123,40.8153253361,-73.9357554519,40003
M010123,40.8148287436,-73.9361171981,40004
M010123,40.8147848422,-73.9361425289,40005
M010123,40.8147848422,-73.9361425289,40006
M010123,40.8147848422,-73.9361425289,50001
M010123,40.8146668655,-73.9362257332,50002
M010123,40.8140413254,-73.9366887487,50003
M010123,40.813749131,-73.9369036157,50004
M010123,40.813749131,-73.9369036157,60001
M010123,40.813421269,-73.9371445252,60002
M010123,40.8127463359,-73.9376364701,60003
M010123,40.8123243649,-73.9379450145,60004
M010123,40.8123243649,-73.9379450145,70001
M010123,40.810855965,-73.9390181983,70002
M010123,40.8105895567,-73.9392145978,70003
M010123,40.8105895567,-73.9392145978,80001
M010123,40.8102084632,-73.9394956306,80002
M010123,40.8095801593,-73.9399477497,80003
M010123,40.8093178639,-73.9401394419,80004
M010123,40.8093178639,-73.9401394419,90001
M010123,40.8089573447,-73.9404034677,90002
M010123,40.8083317855,-73.9408627919,90003
M010123,40.8080467165,-73.9410721973,90004
M010123,40.8080467165,-73.9410721973,100001
M010123,40.807711712,-73.9413184903,100002
M010123,40.80708889,-73.9417705704,100003
M010123,40.8064139365,-73.9422624217,100004
M010123,40.8061066404,-73.9424873667,100005
M010123,40.8061066404,-73.9424873667,110001
M010123,40.8057417255,-73.9427542605,110002
M010123,40.8063902381,-73.9443033409,110003
M010123,40.8062311107,-73.9444407377,110004
M010123,40.8061474259,-73.9445011313,110005
M010123,40.8061474259,-73.9445011313,120001
M010123,40.8057591823,-73.9447806762,120002
M010123,40.80513635,-73.9452399349,120003
M010123,40.8045639981,-73.9456554373,120004
M010123,40.8045639981,-73.9456554373,130001
M010123,40.8045135124,-73.9456919608,130002
M010123,40.8038769427,-73.9461295411,130003
M010123,40.8032471514,-73.9446491146,130004
M010123,40.8032471514,-73.9446491146,140001
M010123,40.8032257183,-73.9445985639,140002
M010123,40.8025973936,-73.9450505874,140003
M010123,40.8019690705,-73.9455098263,140004
M010123,40.8016549083,-73.9457394425,140005
M010123,40.8016549083,-73.9457394425,150001
M010123,40.8013407455,-73.9459690565,150002
M010123,40.8006630288,-73.9464608249,150003
M010123,40.8003129209,-73.9467168276,150004
M010123,40.8003129209,-73.9467168276,160001
M010123,40.7999606173,-73.9469742741,160002
M010123,40.7981277504,-73.9483120859,160003
M010123,40.797474721,-73.9487929525,160004
M010123,40.797474721,-73.9487929525,170001
M010123,40.797474721,-73.9487929525,170002
M010123,40.7970768659,-73.9490858066,170003
M010123,40.7966241282,-73.9494075924,170004
M010123,40.7965031235,-73.949493281,170005
M010123,40.7965031235,-73.949493281,180001
M010123,40.796215291,-73.9496968357,180002
M010123,40.7955869503,-73.9501595983,180003
M010123,40.7954785679,-73.9502387739,180004
M010123,40.7954785679,-73.9502387739,190001
M010123,40.7949640941,-73.950615125,190002
M010123,40.7942836136,-73.9511104125,190003
M010123,40.7941442245,-73.9512116382,190004
M010123,40.7941442245,-73.9512116382,200001
M010123,40.7936058741,-73.9516020765,200002
M010123,40.79303981,-73.9520149196,200003
M010123,40.79303981,-73.9520149196,210001
M010123,40.7923464273,-73.9525202998,210002
M010123,40.7917208196,-73.9529830069,210003
M010123,40.7915399949,-73.9531124229,210004
M010123,40.7915399949,-73.9531124229,220001
M010123,40.7910842282,-73.9534384903,220002
M010123,40.789204639,-73.9548157015,220003
M010123,40.7891782973,-73.9548352203,220004
M010123,40.7891782973,-73.9548352203,230001
M010123,40.7885817651,-73.9552747522,230002
M010123,40.7881841674,-73.9555675282,230003
M010123,40.7881841674,-73.9555675282,240001
M010123,40.7879040101,-73.955773554,240002
M010123,40.7872207592,-73.9562615158,240003
M010123,40.7866006241,-73.9567205374,240004
M010123,40.7865237926,-73.9567761988,240005
M010123,40.7865237926,-73.9567761988,250001
M010123,40.7859832278,-73.9571687155,250002
M010123,40.7854253745,-73.9575738756,250003
M010123,40.7854253745,-73.9575738756,260001
M010123,40.7853411338,-73.9576349563,260002
M010123,40.7847155049,-73.9580975667,260003
M010123,40.784098107,-73.9585565523,260004
M010123,40.7839625519,-73.9586526891,260005
M010123,40.7839625519,-73.9586526891,270001
M010123,40.7834669797,-73.9590047049,270002
M010123,40.7828331109,-73.9594672944,270003
M010123,40.7822129614,-73.9599226451,270004
M010123,40.782152867,-73.9599663731,270005
M010123,40.782152867,-73.9599663731,280001
M010123,40.7815324396,-73.9604177427,280002
M010123,40.7808491721,-73.9609164426,280003
M010123,40.7804005193,-73.9612438444,280004
M010123,40.7804005193,-73.9612438444,290001
M010123,40.7802399919,-73.9613609274,290002
M010123,40.7795841603,-73.9618379277,290003
M010123,40.7789447915,-73.9623040771,290004
M010123,40.7783109091,-73.9627666038,290005
M010123,40.7776770247,-73.9632291217,290006
M010123,40.7772816007,-73.9635178295,290007
M010123,40.7772816007,-73.9635178295,300001
M010123,40.7769937446,-73.9637277639,300002
M010123,40.7763104623,-73.9642263959,300003
M010123,40.7762141439,-73.9642961316,300004
M010123,40.7762141439,-73.9642961316,310001
M010123,40.7756765708,-73.9646852754,310002
M010123,40.7755777826,-73.9647575386,310003
M010123,40.7755777826,-73.9647575386,320001
M010123,40.7750426785,-73.9651477568,320002
M010123,40.7744060395,-73.9656102307,320003
M010123,40.7743149342,-73.9656767104,320004
M010123,40.7743149342,-73.9656767104,330001
M010123,40.7737721434,-73.9660726944,330002
M010123,40.7731382453,-73.9665351493,330003
M010123,40.772460441,-73.9670373312,330004
M010123,40.7721764195,-73.9672421789,330005
M010123,40.7721764195,-73.9672421789,340001
M010123,40.7717743981,-73.9675322863,340002
M010123,40.7711459835,-73.9679947108,340003
M010123,40.7705477501,-73.9684246199,340004
M010123,40.7705148182,-73.9684426868,340005
M010123,40.7702264058,-73.9686594384,340006
M010123,40.7702264058,-73.9686594384,350001
M010123,40.7699001235,-73.9689050876,350002
M010123,40.7692689575,-73.9693638772,350003
M010123,40.7686460247,-73.9698262645,350004
M010123,40.768198718,-73.9701531847,350005
M010123,40.768198718,-73.9701531847,360001
M010123,40.7680230881,-73.9702814229,360002
M010123,40.7673919137,-73.9707293563,360003
M010123,40.7673274244,-73.9707766768,360004
M010123,40.7673274244,-73.9707766768,370001
M010123,40.7667662297,-73.9711881089,370002
M010123,40.7661405437,-73.971646853,370003
M010123,40.7660538254,-73.9717093433,370004
M010123,40.7660538254,-73.9717093433,380001
M010123,40.7655148541,-73.9720983684,380002
M010123,40.7648973978,-73.9725534819,380003
M010123,40.7642771966,-73.973015808,380004
M010123,40.7641641325,-73.9730974379,380005
M010123,40.7641641325,-73.9730974379,390001
M010123,40.7636569901,-73.9734636858,390002
M010123,40.7629654317,-73.973969341,390003
M010123,40.7622930802,-73.9744569292,390004
M010123,40.7617609615,-73.9748469904,390005
M010123,40.7617609615,-73.9748469904,400001
M010123,40.7616673809,-73.9749156117,400002
M010123,40.7610389349,-73.9753742866,400003
M010123,40.7604187205,-73.9758293402,400004
M010123,40.759886047,-73.9762146871,400005
M010123,40.759886047,-73.9762146871,410001
M010123,40.7597847812,-73.9762879998,410002
M010123,40.7591645638,-73.9767466459,410003
M010123,40.7585361096,-73.9772016767,410004
M010123,40.7579965709,-73.9775938623,410005
M010123,40.7579965709,-73.9775938623,420001
M010123,40.7579103983,-73.977656698,420002
M010123,40.757281941,-73.9781153212,420003
M010123,40.7566534805,-73.9785667167,420004
M010123,40.7561191522,-73.9789599614,420005
M010123,40.7561191522,-73.9789599614,430001
M010123,40.756030509,-73.9790253209,430002
M010123,40.7554047909,-73.9794839174,430003
M010123,40.7548397211,-73.979893399,430004
M010123,40.7548397211,-73.979893399,440001
M010123,40.7547818144,-73.9799352857,440002
M010123,40.7541533484,-73.9803974752,440003
M010123,40.7534809694,-73.9808885433,440004
M010123,40.7529820349,-73.9812503397,440005
M010123,40.7529820349,-73.9812503397,450001
M010123,40.7528140766,-73.9813723814,450002
M010123,40.7521965819,-73.9818237129,450003
M010123,40.7515763407,-73.9822750368,450004
M010123,40.7510310206,-73.9826703901,450005
M010123,40.7510310206,-73.9826703901,460001
M010123,40.7509588418,-73.9827227424,460002
M010123,40.7503413417,-73.9831740488,460003
M010123,40.7497238392,-73.9836217377,460004
M010123,40.7491996472,-73.9840044321,460005
M010123,40.7491996472,-73.9840044321,470001
M010123,40.7491008464,-73.9840766378,470002
M010123,40.7484394293,-73.9845604109,470003
M010123,40.7477725211,-73.9850477847,470004
M010123,40.7474695296,-73.985266559,470005
M010123,40.7474695296,-73.985266559,480001
M010123,40.7471522663,-73.9854954396,480002
M010123,40.7465347554,-73.9859503035,480003
M010123,40.746224901,-73.9861741235,480004
M010123,40.746224901,-73.9861741235,490001
M010123,40.7459199861,-73.9863943316,490002
M010123,40.7452997264,-73.9868455704,490003
M010123,40.7450318616,-73.9870412247,490004
M010123,40.7450318616,-73.9870412247,500001
M010123,40.7446822097,-73.9872968003,500002
M010123,40.744064691,-73.9877480218,500003
M010123,40.743449915,-73.9881956256,500004
M010123,40.743318175,-73.9882714336,500005
M010123,40.7431057487,-73.98843964,500006
M010123,40.7431057487,-73.98843964,510001
M010123,40.7430766568,-73.9884627412,510002
M010123,40.7428131792,-73.988643225,510003
M010123,40.7426704595,-73.9887154244,510004
M010123,40.7422121205,-73.9890619401,510005
M010123,40.7419047307,-73.9892929482,510006
M010123,40.7418470934,-73.9893182184,510007
M010123,40.7415424495,-73.9895672671,510008
M010123,40.741152173,-73.9898621568,510009
M010123,40.741152173,-73.9898621568,520001
M010123,40.7408782654,-73.9900689745,520002
M010123,40.7402607353,-73.990516536,520003
M010123,40.7396733942,-73.990946042,520004
M010123,40.7393679213,-73.9911694544,520005
M010123,40.7393679213,-73.9911694544,530001
M010123,40.7390860515,-73.9913755405,530002
M010123,40.7385041961,-73.9917978137,530003
M010123,40.7379168498,-73.9922236887,530004
M010123,40.7376316845,-73.9924322922,530005
M010123,40.7376316845,-73.9924322922,540001
M010123,40.7373295021,-73.9926531646,540002
M010123,40.7366900048,-73.9931187227,540003
M010123,40.7360038466,-73.9936167519,540004
M010123,40.7356725686,-73.9938571014,540005
M010123,40.7356725686,-73.9938571014,550001
M010123,40.7353121969,-73.9941183796,550002
M010123,40.7346726934,-73.9945839095,550003
M010123,40.7344322616,-73.994758932,550004
M010123,40.7344322616,-73.994758932,560001
M010123,40.734033188,-73.9950494305,560002
M010123,40.7334348509,-73.995489682,560003
M010123,40.7331903006,-73.9956668632,560004
M010123,40.7331903006,-73.9956668632,570001
M010123,40.7328474906,-73.995915492,570002
M010123,40.7322546395,-73.9963521194,570003
M010123,40.7320561783,-73.9958816236,570004
M010123,40.7320561783,-73.9958816236,580001
M010123,40.7316628186,-73.9949485782,580002
M010123,40.7316628186,-73.9949485782,590001
M010123,40.7315958396,-73.9947898244,590002
M010123,40.7312746673,-73.9940357488,590003
M010123,40.730945254,-73.9932492082,590004
M010123,40.7307574861,-73.9928036257,590005
M010123,40.7307574861,-73.9928036257,600001
M010123,40.7305911289,-73.9924085567,600002
M010123,40.7301137345,-73.9912475327,600003
M010123,40.7301137345,-73.9912475327,610001
M010123,40.7300393379,-73.9910664173,610002
M010123,40.7299405082,-73.9908282983,610003
M010123,40.729819732,-73.9907381134,610004
M010123,40.7304754362,-73.9905345258,610005
M010124,40.821121912,-73.9357809276,10001
M010124,40.8211056969,-73.9357426453,10002
M010124,40.8204362581,-73.9362310431,10003
M010124,40.8203457764,-73.9364009393,10004
M010124,40.8201298529,-73.9365561414,10005
M010124,40.8201298529,-73.9365561414,20001
M010124,40.819802538,-73.9367916558,20002
M010124,40.8191715048,-73.937251094,20003
M010124,40.8185487,-73.93770329,20004
M010124,40.8182224826,-73.9379427662,20005
M010124,40.8182224826,-73.9379427662,30001
M010124,40.817917665,-73.9381663237,30002
M010124,40.8173003439,-73.9386148848,30003
M010124,40.8166775355,-73.9390706681,30004
M010124,40.8166170696,-73.9389153745,30005
M010124,40.8165194947,-73.9386564292,30006
M010124,40.8165194947,-73.9386564292,40001
M010124,40.8164549029,-73.9384856054,40002
M010124,40.8153253361,-73.9357554519,40003
M010124,40.8148287436,-73.9361171981,40004
M010124,40.8147848422,-73.9361425289,40005
M010124,40.8147848422,-73.9361425289,40006
M010124,40.8147848422,-73.9361425289,50001
M010124,40.8146668655,-73.9362257332,50002
M010124,40.8140413254,-73.9366887487,50003
M010124,40.813749131,-73.9369036157,50004
M010124,40.813749131,-73.9369036157,60001
M010124,40.813421269,-73.9371445252,60002
M010124,40.8127463359,-73.9376364701,60003
M010124,40.8123243649,-73.9379450145,60004
M010124,40.8123243649,-73.9379450145,70001
M010124,40.810855965,-73.9390181983,70002
M010124,40.8105895567,-73.9392145978,70003
M010124,40.8105895567,-73.9392145978,80001
M010124,40.8102084632,-73.9394956306,80002
M010124,40.8095801593,-73.9399477497,80003
M010124,40.8089573447,-73.9404034677,80004
M010124,40.8083317855,-73.9408627919,80005
M010124,40.807711712,-73.9413184903,80006
M010124,40.80708889,-73.9417705704,80007
M010124,40.8064139365,-73.9422624217,80008
M010124,40.8061066404,-73.9424873667,80009
M010124,40.8061066404,-73.9424873667,90001
M010124,40.8057417255,-73.9427542605,90002
M010124,40.8063902381,-73.9443033409,90003
M010124,40.8062311107,-73.9444407377,90004
M010124,40.8057591823,-73.9447806762,90005
M010124,40.80513635,-73.9452399349,90006
M010124,40.8045135124,-73.9456919608,90007
M010124,40.8038769427,-73.9461295411,90008
M010124,40.8032257183,-73.9445985639,90009
M010124,40.8025973936,-73.9450505874,90010
M010124,40.8019690705,-73.9455098263,90011
M010124,40.8013407455,-73.9459690565,90012
M010124,40.8006630288,-73.9464608249,90013
M010124,40.8003129209,-73.9467168276,90014
M010124,40.8003129209,-73.9467168276,100001
M010124,40.7999606173,-73.9469742741,100002
M010124,40.7981277504,-73.9483120859,100003
M010124,40.797474721,-73.9487929525,100004
M010124,40.7970768659,-73.9490858066,100005
M010124,40.7966241282,-73.9494075924,100006
M010124,40.7965031235,-73.949493281,100007
M010124,40.7965031235,-73.949493281,110001
M010124,40.796215291,-73.9496968357,110002
M010124,40.7955869503,-73.9501595983,110003
M010124,40.7949640941,-73.950615125,110004
M010124,40.7942836136,-73.9511104125,110005
M010124,40.7941442245,-73.9512116382,110006
M010124,40.7941442245,-73.9512116382,120001
M010124,40.7936058741,-73.9516020765,120002
M010124,40.7923464273,-73.9525202998,120003
M010124,40.7917208196,-73.9529830069,120004
M010124,40.7915399949,-73.9531124229,120005
M010124,40.7915399949,-73.9531124229,130001
M010124,40.7910842282,-73.9534384903,130002
M010124,40.789204639,-73.9548157015,130003
M010124,40.7885817651,-73.9552747522,130004
M010124,40.7881841674,-73.9555675282,130005
M010124,40.7881841674,-73.9555675282,140001
M010124,40.7879040101,-73.955773554,140002
M010124,40.7872207592,-73.9562615158,140003
M010124,40.7866006241,-73.9567205374,140004
M010124,40.7859832278,-73.9571687155,140005
M010124,40.7853411338,-73.9576349563,140006
M010124,40.7847155049,-73.9580975667,140007
M010124,40.784098107,-73.9585565523,140008
M010124,40.7834669797,-73.9590047049,140009
M010124,40.7828331109,-73.9594672944,140010
M010124,40.7822129614,-73.9599226451,140011
M010124,40.7815324396,-73.9604177427,140012
M010124,40.7808491721,-73.9609164426,140013
M010124,40.7804005193,-73.9612438444,140014
M010124,40.7804005193,-73.9612438444,150001
M010124,40.7802399919,-73.9613609274,150002
M010124,40.7795841603,-73.9618379277,150003
M010124,40.7789447915,-73.9623040771,150004
M010124,40.7783109091,-73.9627666038,150005
M010124,40.7776770247,-73.9632291217,150006
M010124,40.7769937446,-73.9637277639,150007
M010124,40.7763104623,-73.9642263959,150008
M010124,40.7762141439,-73.9642961316,150009
M010124,40.7762141439,-73.9642961316,160001
M010124,40.7756765708,-73.9646852754,160002
M010124,40.7750426785,-73.9651477568,160003
M010124,40.7744060395,-73.9656102307,160004
M010124,40.7737721434,-73.9660726944,160005
M010124,40.7731382453,-73.9665351493,160006
M010124,40.772460441,-73.9670373312,160007
M010124,40.7721764195,-73.9672421789,160008
M010124,40.7721764195,-73.9672421789,170001
M010124,40.7717743981,-73.9675322863,170002
M010124,40.7711459835,-73.9679947108,170003
M010124,40.7705477501,-73.9684246199,170004
M010124,40.7705148182,-73.9684426868,170005
M010124,40.7699001235,-73.9689050876,170006
M010124,40.7692689575,-73.9693638772,170007
M010124,40.7686460247,-73.9698262645,170008
M010124,40.768198718,-73.9701531847,170009
M010124,40.768198718,-73.9701531847,180001
M010124,40.7680230881,-73.9702814229,180002
M010124,40.7673919137,-73.9707293563,180003
M010124,40.7667662297,-73.9711881089,180004
M010124,40.7661405437,-73.971646853,180005
M010124,40.7655148541,-73.9720983684,180006
M010124,40.7648973978,-73.9725534819,180007
M010124,40.7642771966,-73.973015808,180008
M010124,40.7641641325,-73.9730974379,180009
M010124,40.7641641325,-73.9730974379,190001
M010124,40.7636569901,-73.9734636858,190002
M010124,40.7629654317,-73.973969341,190003
M010124,40.7622930802,-73.9744569292,190004
M010124,40.7617609615,-73.9748469904,190005
M010124,40.7617609615,-73.9748469904,200001
M010124,40.7616673809,-73.9749156117,200002
M010124,40.7610389349,-73.9753742866,200003
M010124,40.7604187205,-73.9758293402,200004
M010124,40.7597847812,-73.9762879998,200005
M010124,40.7591645638,-73.9767466459,200006
M010124,40.7585361096,-73.9772016767,200007
M010124,40.7579965709,-73.9775938623,200008
M010124,40.7579965709,-73.9775938623,210001
