stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
401272,"FRED DOUGLASS BL/W 123 ST",,  40.809071, -73.951851,,,0,
401274,"FRED DOUGLASS BL/W 127 ST",,  40.811749, -73.949890,,,0,
401275,"FRED DOUGLASS BL/W 129 ST",,  40.812893, -73.949051,,,0,
401276,"FRED DOUGLASS BL/W 131 ST",,  40.814140, -73.948135,,,0,
401277,"FRED DOUGLASS BL/W 133 ST",,  40.815434, -73.947189,,,0,
401281,"FRED DOUGLASS BL/W 141 ST",,  40.820541, -73.943466,,,0,
401282,"FRED DOUGLASS BL/W 143 ST",,  40.821758, -73.942574,,,0,
401286,"FRED DOUGLASS BL/W 153 ST",,  40.828129, -73.937920,,,0,
401287,"FRED DOUGLASS BL/W 155 ST",,  40.829277, -73.937050,,,0,
401288,"FRED DOUGLASS BL/W 158 ST",,  40.831207, -73.935692,,,0,
401294,"W 14 ST/7 AV",,  40.738289, -73.999268,,,0,
401301,"HUDSON ST/CHARLTON ST",,  40.727184, -74.007248,,,0,
401302,"HUDSON ST/W HOUSTON ST",,  40.728935, -74.006927,,,0,
401305,"FRED DOUGLASS BL/W 155 ST",,  40.829090, -73.937454,,,0,
401306,"FRED DOUGLASS BL/W 154 ST",,  40.828308, -73.938049,,,0,
401307,"FRED DOUGLASS BL/W 152 ST",,  40.827019, -73.938995,,,0,
401308,"FRED DOUGLASS BL/W 150 ST",,  40.825951, -73.939720,,,0,
401310,"FRED DOUGLASS BL/W 145 ST",,  40.822521, -73.942284,,,0,
401311,"FRED DOUGLASS BL/W 142 ST",,  40.820660, -73.943642,,,0,
401312,"FRED DOUGLASS BL/W 140 ST",,  40.819420, -73.944550,,,0,
401313,"FRED DOUGLASS BL/W 138 ST",,  40.818184, -73.945450,,,0,
401314,"FRED DOUGLASS BL/W 135 ST",,  40.816208, -73.946892,,,0,
401315,"FRED DOUGLASS BL/W 133 ST",,  40.814919, -73.947830,,,0,
401317,"FRED DOUGLASS BL/W 129 ST",,  40.812820, -73.949364,,,0,
401324,"FRED DOUGLASS BL/W 112 ST",,  40.801643, -73.957504,,,0,
401325,"FRED DOUGLASS BL/CATHEDRAL PY",,  40.800961, -73.958008,,,0,
401326,"CENTRAL PK W/W 108 ST",,  40.799137, -73.959366,,,0,
401327,"CENTRAL PK W/W 106 ST",,  40.798119, -73.960068,,,0,
401328,"CENTRAL PK W/W 104 ST",,  40.796513, -73.961273,,,0,
401329,"CENTRAL PK W/W 102 ST",,  40.795277, -73.962189,,,0,
401330,"CENTRAL PK W/W 100 ST",,  40.793949, -73.963150,,,0,
401331,"CENTRAL PK W/W 97 ST",,  40.792267, -73.964386,,,0,
401333,"CENTRAL PK W/W 94 ST",,  40.790108, -73.965965,,,0,
401334,"CENTRAL PK W/W 92 ST",,  40.788895, -73.966850,,,0,
401335,"CENTRAL PK W/W 90 ST",,  40.787621, -73.967773,,,0,
401336,"CENTRAL PK W/W 88 ST",,  40.786526, -73.968513,,,0,
401337,"CENTRAL PK W/W 86 ST",,  40.785023, -73.969666,,,0,
401338,"CENTRAL PK W/W 84 ST",,  40.783749, -73.970596,,,0,
401339,"CENTRAL PK W/W 81 ST",,  40.781963, -73.971886,,,0,
401341,"CENTRAL PK W/W 77 ST",,  40.779400, -73.973785,,,0,
401342,"CENTRAL PK W/W 74 ST",,  40.777466, -73.975182,,,0,
401343,"CENTRAL PK W/W 72 ST",,  40.776131, -73.976189,,,0,
401344,"CENTRAL PK W/W 70 ST",,  40.774837, -73.977158,,,0,
401345,"CENTRAL PK W/W 68 ST",,  40.773571, -73.978043,,,0,
401348,"BROADWAY/W 63 ST",,  40.770882, -73.982338,,,0,
401358,"7 AV/W 39 ST",,  40.753838, -73.988678,,,0,
401359,"7 AV/W 37 ST",,  40.752613, -73.989578,,,0,
401360,"7 AV/W 34 ST",,  40.750629, -73.991020,,,0,
401361,"7 AV/W 31 ST",,  40.748859, -73.992310,,,0,
401363,"7 AV/W 28 ST",,  40.747036, -73.993637,,,0,
401364,"7 AV/W 25 ST",,  40.745178, -73.994995,,,0,
401366,"7 AV/W 20 ST",,  40.742027, -73.997284,,,0,
401371,"7 AV S/WAVERLY PL",,  40.735237, -74.001999,,,0,
401372,"7 AV S/W 10 ST",,  40.734112, -74.002647,,,0,
401373,"7 AV S/BARROW ST",,  40.732574, -74.003525,,,0,
401374,"7 AV S/BEDFORD ST",,  40.730469, -74.004730,,,0,
401375,"7 AV S/CLARKSON ST",,  40.729462, -74.005302,,,0,
401377,"VARICK ST/CHARLTON ST",,  40.726860, -74.005714,,,0,
401379,"VARICK ST/WATTS ST",,  40.723663, -74.006264,,,0,
401380,"VARICK ST/NORTH MOORE ST",,  40.719658, -74.006958,,,0,
401381,"W BROADWAY/DUANE ST",,  40.716370, -74.008659,,,0,
401383,"CHAMBERS ST/W BROADWAY",,  40.715488, -74.009003,,,0,
401386,"HUDSON ST/W 14 ST",,  40.740803, -74.005264,,,0,
401387,"HUDSON ST/HORATIO ST",,  40.738853, -74.005592,,,0,
401388,"HUDSON ST/W 12 ST",,  40.737671, -74.005768,,,0,
401393,"BETHUNE ST/GREENWICH ST",,  40.736988, -74.006355,,,0,
401398,"10 AV/W 21 ST",,  40.746616, -74.004822,,,0,
401400,"10 AV/W 25 ST",,  40.749222, -74.002907,,,0,
401401,"10 AV/W 27 ST",,  40.750454, -74.002007,,,0,
401402,"10 AV/W 30 ST",,  40.752373, -74.000603,,,0,
401404,"10 AV/W 34 ST",,  40.754368, -73.999153,,,0,
401407,"10 AV/W 42 ST",,  40.759846, -73.995178,,,0,
401408,"10 AV/W 45 ST",,  40.761749, -73.993797,,,0,
401409,"10 AV/W 47 ST",,  40.763027, -73.992874,,,0,
401410,"10 AV/W 49 ST",,  40.764271, -73.991959,,,0,
401411,"10 AV/W 53 ST",,  40.766418, -73.990395,,,0,
401412,"10 AV/W 55 ST",,  40.768013, -73.989227,,,0,
401413,"10 AV/W 57 ST",,  40.768929, -73.988564,,,0,
401414,"AMSTERDAM AV/W 59 ST",,  40.770630, -73.987328,,,0,
401416,"AMSTERDAM AV/W 62 ST",,  40.772644, -73.985840,,,0,
401417,"AMSTERDAM AV/W 65 ST",,  40.774342, -73.984619,,,0,
401435,"AMSTERDAM AV/W 106 ST",,  40.800697, -73.965393,,,0,
401436,"AMSTERDAM AV/W 109 ST",,  40.802567, -73.964027,,,0,
401438,"AMSTERDAM AV/W 112 ST",,  40.804558, -73.962578,,,0,
401440,"AMSTERDAM AV/W 116 ST",,  40.807098, -73.960724,,,0,
401441,"AMSTERDAM AV/W 118 ST",,  40.808353, -73.959808,,,0,
401442,"AMSTERDAM AV/W 120 ST",,  40.809586, -73.958908,,,0,
401443,"AMSTERDAM AV/W 123 ST",,  40.812267, -73.956886,,,0,
401444,"AMSTERDAM AV/W 125 ST",,  40.813747, -73.955872,,,0,
401445,"AMSTERDAM AV/W 126 ST",,  40.814331, -73.955437,,,0,
401446,"AMSTERDAM AV/W 129 ST",,  40.814972, -73.954964,,,0,
401447,"AMSTERDAM AV/W 131 ST",,  40.816677, -73.953728,,,0,
401448,"AMSTERDAM AV/W 133 ST",,  40.817833, -73.952873,,,0,
401450,"BROADWAY/W 135 ST",,  40.820087, -73.955315,,,0,
401453,"HUDSON ST/CHRISTOPHER ST",,  40.733345, -74.006264,,,0,
401457,"AMSTERDAM AV/W 134 ST",,  40.817970, -73.953049,,,0,
401458,"AMSTERDAM AV/W 131 ST",,  40.816029, -73.954460,,,0,
401459,"AMSTERDAM AV/W 129 ST",,  40.814884, -73.955299,,,0,
401461,"AMSTERDAM AV/LA SALLE ST",,  40.812363, -73.957138,,,0,
401462,"AMSTERDAM AV/W 123 ST",,  40.811035, -73.958115,,,0,
401463,"AMSTERDAM AV/W 120 ST",,  40.809048, -73.959564,,,0,
401464,"AMSTERDAM AV/W 118 ST",,  40.807819, -73.960464,,,0,
401465,"AMSTERDAM AV/W 116 ST",,  40.806522, -73.961403,,,0,
401466,"AMSTERDAM AV/W 114 ST",,  40.805286, -73.962311,,,0,
401467,"AMSTERDAM AV/W 112 ST",,  40.804035, -73.963211,,,0,
401469,"COLUMBUS AV/CATHEDRAL PY",,  40.801441, -73.961388,,,0,
401470,"COLUMBUS AV/W 108 ST",,  40.800308, -73.962212,,,0,
401489,"9 AV/W 59 ST",,  40.768955, -73.985085,,,0,
401490,"9 AV/W 57 ST",,  40.767673, -73.986046,,,0,
401491,"9 AV/W 55 ST",,  40.766556, -73.986771,,,0,
401492,"9 AV/W 52 ST",,  40.764526, -73.988335,,,0,
401493,"9 AV/W 50 ST",,  40.763294, -73.989235,,,0,
401495,"9 AV/W 46 ST",,  40.760765, -73.991081,,,0,
401496,"9 AV/W 44 ST",,  40.759853, -73.991745,,,0,
401497,"9 AV/W 42 ST",,  40.758583, -73.992668,,,0,
401499,"9 AV/W 38 ST",,  40.756039, -73.994522,,,0,
401500,"9 AV/W 35 ST",,  40.754200, -73.995865,,,0,
401501,"9 AV/W 34 ST",,  40.753155, -73.996628,,,0,
401502,"9 AV/W 30 ST",,  40.750610, -73.998474,,,0,
401503,"9 AV/W 28 ST",,  40.749424, -73.999344,,,0,
401504,"9 AV/W 26 ST",,  40.748169, -74.000259,,,0,
401506,"9 AV/W 20 ST",,  40.744434, -74.002975,,,0,
401507,"9 AV/W 18 ST",,  40.743221, -74.003860,,,0,
401508,"9 AV/W 16 ST",,  40.741955, -74.004784,,,0,
401528,"WEST ST/CHRISTOPHER ST",,  40.732845, -74.010078,,,0,
401529,"W 10 ST/WASHINGTON ST",,  40.733242, -74.008644,,,0,
401531,"W 10 ST/BLEECKER ST",,  40.734005, -74.004257,,,0,
401532,"W 10 ST/7 AV S",,  40.734230, -74.002586,,,0,
401533,"W 10 ST/WAVERLY PL",,  40.734489, -74.001022,,,0,
401535,"GREENWICH AV/CHRISTOPHER ST",,  40.734142, -73.999733,,,0,
401536,"W 8 ST/AV OF THE AMERICAS",,  40.733368, -73.999161,,,0,
401542,"ST MARKS PL/3 AV",,  40.729324, -73.989532,,,0,
401543,"ST MARKS PL/2 AV",,  40.728611, -73.987846,,,0,
401544,"ST MARKS PL/1 AV",,  40.727383, -73.984924,,,0,
401545,"ST MARKS PL/AV A",,  40.726719, -73.983353,,,0,
401547,"E 10 ST/AV A",,  40.727646, -73.981880,,,0,
401548,"E 10 ST/AV B",,  40.726673, -73.979591,,,0,
401549,"E 10 ST/AV C",,  40.725666, -73.977219,,,0,
401552,"E 10 ST/AV C",,  40.726048, -73.977844,,,0,
401553,"E 10 ST/AV B",,  40.727051, -73.980217,,,0,
401554,"E 10 ST/AV A",,  40.727829, -73.982071,,,0,
401555,"E 9 ST/AV A",,  40.727463, -73.983002,,,0,
401556,"E 9 ST/1 AV",,  40.728394, -73.985207,,,0,
401557,"E 9 ST/2 AV",,  40.729412, -73.987640,,,0,
401558,"E 9 ST/3 AV",,  40.730095, -73.989265,,,0,
401561,"E 9 ST/UNIVERSITY PL",,  40.732357, -73.994606,,,0,
401562,"W 9 ST/5 AV",,  40.733089, -73.996368,,,0,
401563,"W 9 ST/AV OF THE AMERICAS",,  40.734158, -73.998909,,,0,
401564,"CHRISTOPHER ST/GREENWICH AV",,  40.734112, -73.999947,,,0,
401565,"CHRISTOPHER ST/WAVERLY PL",,  40.733749, -74.002197,,,0,
401566,"CHRISTOPHER ST/7 AV S",,  40.733578, -74.003342,,,0,
401567,"CHRISTOPHER ST/BLEECKER ST",,  40.733368, -74.004692,,,0,
401568,"CHRISTOPHER ST/HUDSON ST",,  40.733143, -74.006157,,,0,
401569,"CHRISTOPHER ST/GREENWICH ST",,  40.732853, -74.007927,,,0,
401570,"CHRISTOPHER ST/WASHINGTON ST",,  40.732666, -74.009064,,,0,
401575,"W 14 ST/8 AV",,  40.739513, -74.002174,,,0,
401577,"W 14 ST/6 AV",,  40.737095, -73.996429,,,0,
401578,"W 14 ST/5 AV",,  40.735779, -73.993301,,,0,
